Temps (s),Tension mesurée (V),Intensité mesurée (A),Position Angulaire (rad),Vitesse rotation (rad/s),Distance mesurée (cm),Bits envoyés,Moteur allumé
0.0,0.0,0.0,-198,0.0,-9.9,0,0
0.1009020805358887,1.007,1.007,-198,0.0,-9.9,255,0
0.2155830860137939,0.9875,0.9825,-198,0.0,-9.9,255,0
0.3163983821868896,0.958,0.953,-198,0.0,-9.9,255,0
0.4166102409362793,0.9825,0.9825,-198,0.0,-9.9,255,0
0.526472806930542,1.007,1.007,-198,0.0,-9.9,255,0
0.6264908313751221,0.9775,0.9725,-198,0.0,-9.9,255,0
0.7321417331695557,0.958,0.953,-198,0.0,-9.9,255,0
0.8329980373382568,0.9875,0.9875,-198,0.0,-9.9,255,0
0.9330775737762451,1.002,1.002,-198,0.0,-9.9,255,0
1.033460140228271,0.9775,0.9725,-198,0.0,-9.9,255,1
1.133914470672607,0.9675,0.963,-180,0.0,-9.0,255,1
1.233934164047241,0.992,0.992,-144,19.60076754502681,-7.2,255,1
1.348546504974365,1.002,1.002,-144,58.85329059375994,-7.2,255,1
1.449528694152832,0.963,0.958,-144,57.9438767260946,-7.2,255,1
1.550456047058105,0.958,0.953,-144,58.50133317766895,-7.2,255,1
1.665156364440918,1.002,0.997,-144,58.44375857816669,-7.2,255,1
1.766102313995361,0.992,0.9875,-108,57.8769058813338,-5.4,255,1
1.881616830825806,0.953,0.9435,-72,96.45224253223849,-3.6,255,1
1.98166561126709,0.9725,0.9725,-72,132.835830529486,-3.6,255,1
2.082583904266357,0.997,0.997,-36,132.8825912193473,-1.8,255,1
2.182612180709839,0.9775,0.9725,-72,151.7915460335842,-3.6,255,1
2.282639980316162,0.953,0.948,-36,75.89508635742656,-1.8,255,1
2.382900953292847,0.9875,0.9875,-18,115.6201203102092,-0.9,255,1
2.483489751815796,1.002,1.002,-18,134.9943698949154,-0.9,255,1
2.598175048828125,0.9675,0.963,18,135.0433530509193,0.9,255,1
2.698996782302856,0.958,0.953,54,173.6299633767776,2.7,255,1
2.799299240112305,0.9875,0.9825,54,173.6530824262563,2.7,255,1
2.899997234344482,0.997,0.992,90,137.302403015402,4.5,255,1
3.0145583152771,0.9675,0.963,126,176.4068621062257,6.3,255,1
3.115557193756104,0.963,0.958,162,173.8245150146432,8.1,255,1
3.226446390151978,0.997,0.997,198,250.8186406784469,9.9,255,1
3.331108093261719,0.9875,0.9825,198,247.9322004612224,9.9,255,1
3.431231260299683,0.953,0.948,162,227.7983268582969,8.1,255,1
3.532226800918579,0.9775,0.9725,198,189.9252046984289,9.9,255,1
3.633100748062134,1.007,1.007,162,192.7088082615884,8.1,255,1
3.747645378112793,0.9725,0.9675,198,115.618821843041,9.9,255,1
3.848635673522949,0.953,0.948,198,151.8432924750581,9.9,255,1
3.949630737304688,0.9825,0.9825,234,113.8473790852597,11.7,255,1
4.050167560577393,1.007,1.002,252,115.4990752115387,12.6,255,1
4.15038537979126,0.9725,0.9675,288,96.29681329782349,14.4,255,1
4.25111722946167,0.953,0.948,324,97.40902917749706,16.2,255,1
4.351940155029297,0.9775,0.9775,360,136.9551616850636,18.0,255,0
4.452047348022461,1.007,1.002,396,215.05168586228,19.8,255,0
4.552729368209839,0.9775,0.9725,396,215.2593792598095,19.8,255,0
4.654699563980103,0.958,0.953,414,254.4505410917033,20.7,255,0
4.764796733856201,1.002,0.997,414,238.1335132624569,20.7,255,0
4.865490436553955,0.997,0.992,414,235.7664054412336,20.7,255,0
4.9662184715271,0.963,0.958,414,196.5366531004109,20.7,255,0
5.066612243652344,0.9725,0.9675,414,176.8460661559171,20.7,255,0
5.167500019073486,1.007,1.002,414,137.5205257233145,20.7,255,0
5.267894506454468,0.997,0.992,414,98.21223294484216,20.7,255,0
5.368788003921509,0.963,0.958,414,58.95490306474246,20.7,255,0
5.481157302856445,0.9725,0.9725,414,19.63477880485991,20.7,255,0
5.581419229507446,1.0115,1.007,414,19.38761138940898,20.7,255,1
5.68155574798584,0.992,0.9875,396,0.0,19.8,255,1
5.782364845275879,0.963,0.958,360,-19.63438561560151,18.0,255,1
5.884263277053833,0.992,0.9875,324,-58.89574350239882,16.2,255,1
5.996958255767822,1.002,1.002,288,-98.03443084497601,14.4,255,1
6.097857475280762,0.9725,0.9675,252,-135.4334821229506,12.6,255,1
6.198870182037354,0.958,0.953,216,-174.1266208156318,10.8,255,1
6.29887056350708,0.9825,0.9825,180,-212.6801002357358,9.0,255,1
6.41357421875,0.997,0.997,144,-251.59056858809,7.2,255,1
6.514397859573364,0.958,0.953,108,-289.5700361047755,5.4,255,1
6.614403009414673,0.963,0.958,72,-327.981788798721,3.6,255,1
6.714424133300781,0.992,0.992,36,-347.3237403342241,1.8,255,1
6.815300941467285,1.007,1.002,0,-347.6173717302665,0.0,255,1
6.929934740066528,0.958,0.948,-36,-347.9988107721914,-1.8,255,1
7.030878782272339,0.9725,0.9675,-72,-347.2756339014721,-3.6,255,1
7.131814002990723,1.002,1.002,-108,-347.2589506500144,-5.4,255,1
7.246549606323242,0.9875,0.9825,-144,-347.2877923870127,-7.2,255,1
7.347148656845093,0.953,0.948,-180,-341.8879022977951,-9.0,255,1
7.447521209716797,0.9825,0.9775,-216,-347.05320409276,-10.8,255,1
7.548425674438477,1.007,1.002,-234,-347.2209756086344,-11.7,255,1
7.663070917129517,0.9725,0.9675,-288,-327.6151762250882,-14.4,255,1
7.764034986495972,0.958,0.953,-306,-341.539132923992,-15.3,255,1
7.864960193634033,0.997,0.997,-342,-322.5350682874963,-17.1,255,1
7.965945243835449,1.007,1.002,-378,-327.2638181479282,-18.9,255,1
8.066797494888306,0.9675,0.963,-414,-327.2494657636132,-20.7,255,1
8.17955756187439,0.953,0.953,-450,-327.2785056118605,-22.5,255,0
8.280530214309692,1.002,0.997,-468,-327.971479963683,-23.4,255,0
8.38113808631897,0.992,0.992,-468,-308.5554859068693,-23.4,255,0
8.484636068344116,0.963,0.958,-468,-269.9179998942765,-23.4,255,0
8.58548641204834,0.9675,0.963,-468,-249.9438176752231,-23.4,255,0
8.693368673324585,1.002,1.002,-468,-195.1398268909618,-23.4,255,0
8.79379916191101,0.9875,0.9825,-468,-174.3184415845628,-23.4,255,0
8.897025346755981,0.953,0.948,-468,-135.653223328618,-23.4,255,0
8.997624397277832,0.9725,0.9725,-468,-96.66193028687405,-23.4,255,0
9.101168394088745,1.007,1.002,-468,-58.01293437198319,-23.4,255,0
