Temps (s),Tension mesurée (V),Intensité mesurée (A),Position Angulaire (rad),Vitesse rotation (rad/s),Distance mesurée (cm),Bits envoyés,Moteur allumé
0.0,0.0,0.0,0,0,0,0,1
0.1093473434448242,0.563,0.009365720000000001,0,0,0,255,1
0.2094123363494873,0.563,0.007729540000000001,0,0,0,255,1
0.3095047473907471,0.5621,0.01105832,0,0,0,255,1
0.4238746166229248,0.5621,0.009929920000000002,0,0,0,255,1
0.5258529186248779,0.563,0.0121303,0,0,0,255,1
0.6352024078369141,0.563,0.006093360000000001,0,0,0,255,1
0.735764741897583,0.563,0.01049412,0,0,0,255,1
0.8439509868621826,0.563,0.009929920000000002,0,0,0,255,1
0.953317403793335,0.563,0.01105832,0,0,0,255,1
1.063679456710815,0.563,0.00880152,0,0,0,255,1
1.173062086105347,0.5621,0.0115661,0,0,0,255,1
1.273352384567261,0.563,0.01049412,0,0,0,255,1
1.381409406661987,0.563,0.01049412,0,0,0,255,1
1.490758419036865,0.564,0.009929920000000002,0,0,0,255,1
1.604643106460571,0.5621,0.006601140000000001,0,0,0,255,1
1.71399188041687,0.563,0.006601140000000001,0,0,0,255,1
1.82342004776001,0.5621,0.01049412,0,0,0,255,1
1.937810659408569,0.563,0.009929920000000002,0,0,0,255,1
2.048354864120483,0.563,0.009365720000000001,0,0,0,255,1
2.157674312591553,0.563,0.00829374,0,0,0,255,1
2.258117914199829,0.563,0.009929920000000002,0,0,0,255,1
2.367213487625122,0.5621,0.006601140000000001,0,0,0,255,1
2.476562738418579,0.563,0.01049412,0,0,0,255,1
2.590802192687988,0.563,0.009929920000000002,0,0,0,255,1
2.700154542922974,0.563,0.00829374,0,0,0,255,1
2.809500217437744,0.563,0.006601140000000001,0,0,0,255,1
2.923462152481079,0.563,0.00829374,0,0,0,255,1
3.033920526504517,0.563,0.00552916,0,0,0,255,1
3.143269538879395,0.5611,0.01105832,0,0,0,255,1
3.24426007270813,0.563,0.01489488,0,0,0,255,1
3.344512224197388,0.5621,0.00880152,0,0,0,255,1
3.448221206665039,0.563,0.00716534,0,0,0,255,1
3.55858588218689,0.5621,0.004964960000000001,0,0,0,255,1
3.667935609817505,0.563,0.009365720000000001,0,0,0,255,1
3.777285575866699,0.5621,0.0115661,0,0,0,255,1
3.892336368560791,0.563,0.01049412,0,0,0,255,1
4.002783298492432,0.563,0.007729540000000001,0,0,0,255,1
4.112132549285889,0.563,0.009365720000000001,0,0,0,255,1
