Mon Dec  7 12:14:23 2020    output.dat

         1226512 function calls (1205812 primitive calls) in 2.919 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    70834    0.020    0.000    0.028    0.000 {built-in method builtins.isinstance}
    55220    0.012    0.000    0.012    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:804(get_animated)
54932/46503    0.040    0.000    0.062    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:217(stale)
    54250    0.034    0.000    0.046    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\__init__.py:815(__getitem__)
    54250    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x0795A2F8}
    47780    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    24303    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
    23056    0.012    0.000    0.026    0.000 {built-in method builtins.getattr}
    22787    0.048    0.000    0.048    0.000 {built-in method numpy.array}
    22070    0.005    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:192(axes)
    20677    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    17236    0.014    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:2131(_check_in_list)
    15437    0.003    0.000    0.003    0.000 {built-in method builtins.len}
14772/12378    0.025    0.000    0.129    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    11859    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    11622    0.009    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:82(__init__)
    10823    0.007    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:336(pchanged)
     9969    0.005    0.000    0.027    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\_asarray.py:16(asarray)
     9663    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     7735    0.033    0.000    0.033    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7633    0.003    0.000    0.003    0.000 {built-in method _tkinter._flatten}
     7621    0.010    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:101(_cnfmerge)
     7361    0.005    0.000    0.030    0.000 {built-in method builtins.next}
     7287    0.009    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1701(__init__)
     6708    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     6521    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     6236    0.009    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:1956(_setattr_cm)
     6014    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5888    0.003    0.000    0.008    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\abc.py:96(__instancecheck__)
     5888    0.004    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     5852    0.002    0.000    0.002    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:939(get_points)
5768/3670    0.003    0.000    0.013    0.000 {built-in method builtins.hash}
5531/5372    0.888    0.000    2.140    0.000 {method 'call' of '_tkinter.tkapp' objects}
     5400    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     5219    0.003    0.000    0.003    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
     5219    0.013    0.000    0.042    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
     5218    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     5131    0.006    0.000    0.019    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
     4882    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4680    0.001    0.000    0.001    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:800(get_visible)
     4365    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     4284    0.001    0.000    0.001    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:2111(<genexpr>)
     4128    0.001    0.000    0.001    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:868(get_rasterized)
     4128    0.001    0.000    0.001    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:888(get_agg_filter)
     3864    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:1220(<genexpr>)
     3846    0.010    0.000    0.015    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:1459(_options)
