Mon Dec  7 12:14:23 2020    output.dat

         1226512 function calls (1205812 primitive calls) in 2.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5531/5372    0.888    0.000    2.140    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.436    0.218    0.436    0.218 {built-in method _tkinter.create}
      644    0.080    0.000    0.080    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    22787    0.048    0.000    0.048    0.000 {built-in method numpy.array}
       24    0.046    0.002    0.046    0.002 {built-in method matplotlib.backends._tkagg.blit}
54932/46503    0.040    0.000    0.062    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:217(stale)
    54250    0.034    0.000    0.046    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\__init__.py:815(__getitem__)
     7735    0.033    0.000    0.033    0.000 {method 'reduce' of 'numpy.ufunc' objects}
2926/2923    0.033    0.000    0.081    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:974(update)
     1176    0.029    0.000    0.242    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:269(__init__)
14772/12378    0.025    0.000    0.129    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    70834    0.020    0.000    0.028    0.000 {built-in method builtins.isinstance}
        1    0.019    0.019    0.019    0.019 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\pynput\mouse\_win32.py:103(_press)
     2676    0.018    0.000    0.029    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:74(__init__)
      855    0.017    0.000    0.021    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:1663(normalize_kwargs)
     2543    0.016    0.000    0.024    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:126(invalidate)
    17236    0.014    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:2131(_check_in_list)
     5219    0.013    0.000    0.042    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
     1251    0.012    0.000    0.012    0.000 {built-in method time.strftime}
      648    0.012    0.000    0.058    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:667(recache)
    54250    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x0795A2F8}
1252/1251    0.012    0.000    0.961    0.001 C:\Users\cleme\Desktop\Documents\1. DOCUMENTS CLEMENT\TRAVAIL\Post BAC\projets personnels info\github\pilot_energy_storage\Pilot_Software\tkinter_window.py:123(update)
     2142    0.012    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:2096(_check_isinstance)
      768    0.012    0.000    0.099    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:751(draw)
    55220    0.012    0.000    0.012    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:804(get_animated)
    23056    0.012    0.000    0.026    0.000 {built-in method builtins.getattr}
     3763    0.011    0.000    0.188    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:1617(_configure)
      280    0.011    0.000    0.013    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      240    0.011    0.000    0.013    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      656    0.011    0.000    0.112    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:670(draw)
     3846    0.010    0.000    0.015    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:1459(_options)
     7621    0.010    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:101(_cnfmerge)
      192    0.009    0.000    0.242    0.001 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\ticker.py:2172(_raw_ticks)
     3572    0.009    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\contextlib.py:82(__init__)
     6236    0.009    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:1956(_setattr_cm)
    47780    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
      380    0.009    0.000    0.453    0.001 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\axis.py:56(__init__)
    11622    0.009    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:82(__init__)
     1124    0.009    0.000    0.041    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:623(__init__)
     2742    0.009    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:663(__hash__)
     3036    0.009    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:163(set_children)
     7287    0.009    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1701(__init__)
      768    0.008    0.000    0.008    0.000 {method 'round' of 'numpy.ndarray' objects}
     2419    0.008    0.000    0.021    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:727(__init__)
      846    0.008    0.000    0.103    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:272(_get_layout)
     4882    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.007    0.004    0.036    0.018 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:1227(_findfont_cached)
     1251    0.007    0.000    0.026    0.000 C:\Users\cleme\Desktop\Documents\1. DOCUMENTS CLEMENT\TRAVAIL\Post BAC\projets personnels info\github\pilot_energy_storage\Pilot_Software\tkinter_window.py:114(readable_time)
  2064/24    0.007    0.000    1.095    0.046 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
